user_id,assessment_id,score,date_taken,manager
5,12,4,2022-12-30 01:39:41,1
14,7,4,2022-12-16 20:08:24,1
13,10,1,2022-12-06 07:12:11,2
12,10,3,2022-12-02 22:46:34,1
15,11,1,2022-12-19 21:35:19,1
10,14,2,2022-12-07 00:36:02,1
13,5,2,2022-12-01 06:28:43,1
2,15,1,2022-12-17 16:40:41,1
3,1,4,2022-12-27 20:16:06,1
13,6,1,2022-12-10 14:45:42,2
